SKU,GLOSSY WHITE,SLICED OAK SHAKER,BLACK WALNUT,WEATHERED OAK SHAKER,GLOSSY GREY,NATURAL OAK,WHITE OAK,MATTE WHITE,MATTE GREY,MATTE BLUE,GLOSSY BLACK,SLICED OAK,WEATHERED OAK
W3618,563.27,530.38,495.42,530.38,563.27,455.98,455.98,563.27,563.27,563.27,563.27,,
W3621,617.55,579.14,538.32,579.14,617.55,492.2,492.2,617.55,617.55,617.55,617.55,,
W3624,746.35,702.42,655.62,702.42,746.35,603.06,603.06,746.35,746.35,746.35,746.35,,
W301224,557.98,539.93,520.49,539.93,557.98,498.64,498.64,557.98,557.98,557.98,557.98,,
W301524,617.78,595.01,570.75,595.01,617.78,543.49,543.49,617.78,617.78,617.78,617.78,,
W301824,677.58,650.21,621.12,650.21,677.58,588.23,588.23,677.58,677.58,677.58,677.58,,
W302124,737.27,705.3,671.26,705.3,737.27,632.96,632.96,737.27,737.27,737.27,737.27,,
W302424,916.55,880.1,841.11,880.1,916.55,797.3,797.3,916.55,916.55,916.55,916.55,,
W361224,644.23,622.38,599.15,622.38,644.23,572.93,572.93,644.23,644.23,644.23,644.23,,
W361524,710.7,683.33,654.24,683.33,710.7,621.35,621.35,710.7,710.7,710.7,710.7,,
W361824,777.17,744.28,709.32,744.28,777.17,669.88,669.88,777.17,777.17,777.17,777.17,,
W362124,843.53,805.12,764.29,805.12,843.53,718.18,718.18,843.53,843.53,843.53,843.53,,
W362424,1054.78,1010.85,964.05,1010.85,1054.78,911.49,911.49,1054.78,1054.78,1054.78,1054.78,,
WSL3012,675.28,657.0,637.56,657.0,675.28,615.71,615.71,675.28,675.28,675.28,675.28,,
WSL3015,750.15,727.38,703.0,727.38,750.15,675.51,675.51,750.15,750.15,750.15,750.15,,
WSL3018,841.57,814.09,784.88,814.09,841.57,751.87,751.87,841.57,841.57,841.57,841.57,,
WSL3021,889.3,857.21,823.06,857.21,889.3,784.53,784.53,889.3,889.3,889.3,889.3,,
WSL3612,737.04,715.07,691.73,715.07,737.04,665.51,665.51,737.04,737.04,737.04,737.04,,
WSL3615,841.92,814.43,785.22,814.43,841.92,752.33,752.33,841.92,841.92,841.92,841.92,,
WSL3618,916.78,883.78,848.7,883.78,916.78,809.14,809.14,916.78,916.78,916.78,916.78,,
WSL3621,1002.92,964.39,923.34,964.39,1002.92,877.22,877.22,1002.92,1002.92,1002.92,1002.92,,
ROT15,150.19,150.19,150.19,150.19,150.19,150.19,150.19,150.19,150.19,150.19,150.19,,
ROT18,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,,
ROT21,171.7,171.7,171.7,171.7,171.7,171.7,171.7,171.7,171.7,171.7,171.7,,
ROT24,182.62,182.62,182.62,182.62,182.62,182.62,182.62,182.62,182.62,182.62,182.62,,
ROT27,193.32,193.32,193.32,193.32,193.32,193.32,193.32,193.32,193.32,193.32,193.32,,
ROT30,209.76,209.76,209.76,209.76,209.76,209.76,209.76,209.76,209.76,209.76,209.76,,
ROT33,220.57,220.57,220.57,220.57,220.57,220.57,220.57,220.57,220.57,220.57,220.57,,
ROT36,231.27,231.27,231.27,231.27,231.27,231.27,231.27,231.27,231.27,231.27,231.27,,
*SB30 - ADA,,,,1284.92,,,,,,,,,
*SB33 - ADA,1335.06,,,,1335.06,,,1335.06,1335.06,1335.06,1335.06,,
*SB36 - ADA,1415.67,,,,1415.67,1236.85,1236.85,1415.67,1415.67,1415.67,1415.67,,
*SB42 - ADA,,,,,,,,,,,,,
*SB48 - ADA,2480.59,,,,2480.59,,,2480.59,2480.59,2480.59,2480.59,,
*VSB27 - ADA,1168.15,,,,1168.15,,,1168.15,1168.15,1168.15,1168.15,,
*VSB30 - ADA,1254.44,,,,1254.44,1137.24,,1254.44,1254.44,1254.44,1254.44,,
*VSB33 - ADA,1295.37,,,,1295.37,,,1295.37,1295.37,1295.37,1295.37,,
*VSB36 - ADA,1415.67,,,,1415.67,1236.85,1236.85,1415.67,1415.67,1415.67,1415.67,,
*VSB39 - ADA,1495.04,,,,1495.04,,,1495.04,1495.04,1495.04,1495.04,,
*VSB48 - ADA,,,,,,1274.39,1274.39,,,,,,
*B24 - ADA,1246.27,,,,1246.27,,,1246.27,1246.27,1246.27,1246.27,,
*B30 - ADA,1452.85,,,,1452.85,1185.0,1185.0,1452.85,1452.85,1452.85,1452.85,,
*B36 - ADA,1534.72,,,,1534.72,1236.85,1236.85,1534.72,1534.72,1534.72,1534.72,,
*B48 - ADA,2090.27,,,,2090.27,,,2090.27,2090.27,2090.27,2090.27,,
*W0942,463.32,,,,463.32,,,463.32,463.32,463.32,463.32,,
*W1240,548.87,,,,548.87,,,548.87,548.87,548.87,548.87,,
*W1533,534.31,,,,534.31,,,534.31,534.31,534.31,534.31,,
